,Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
1519,AMD Athlon 64 FX-60,CPU,2006/1/9,90,110,199,233,2600,Unknown,AMD,,,
3611,ATI All-In-Wonder X1900,GPU,2006/1/13,90,,352,384,500,TSMC,ATI,,,
7,Intel Pentium D 930,CPU,2006/1/16,65,130,140,376,3000,Intel,Intel,,,
343,Intel Pentium D 940,CPU,2006/1/16,65,130,140,376,3200,Intel,Intel,,,
1714,Intel Pentium D 950,CPU,2006/1/16,65,130,140,376,3400,Intel,Intel,,,
1800,Intel Pentium D 920,CPU,2006/1/16,65,130,140,376,2800,Intel,Intel,,,
1824,Intel Pentium D 955 EE,CPU,2006/1/16,65,130,140,376,3460,Intel,Intel,,,
2507,NVIDIA GeForce 7300 GS Low Profile,GPU,2006/1/18,90,23,81,112,450,TSMC,NVIDIA,,,
3002,NVIDIA GeForce 7200 GS,GPU,2006/1/18,90,,81,112,450,TSMC,NVIDIA,,,
3219,NVIDIA GeForce 7300 GS,GPU,2006/1/18,90,23,81,112,450,TSMC,NVIDIA,,,
3471,ATI Mobility Radeon X1400,GPU,2006/1/19,90,,100,107,445,TSMC,ATI,,,
4542,ATI Mobility Radeon X1300,GPU,2006/1/19,90,,100,107,350,TSMC,ATI,,,
246,AMD Sempron 3400+,CPU,2006/1/23,90,62,,69,2000,Unknown,AMD,,,
4617,ATI Radeon X1900 CrossFire Edition,GPU,2006/1/24,90,100,352,384,625,TSMC,ATI,,,
3316,NVIDIA Quadro FX 4500 SDI,GPU,2006/1/30,110,116,333,302,430,TSMC,NVIDIA,,,
134,AMD Opteron X2 875 HE,CPU,2006/2/1,90,55,,233,2200,Unknown,AMD,,,
871,AMD Opteron X2 275 HE,CPU,2006/2/1,90,55,,233,2200,Unknown,AMD,,,
2215,NVIDIA GeForce Go 6200,GPU,2006/2/1,110,16,110,75,300,TSMC,NVIDIA,,,
2367,NVIDIA GeForce 7000M + nForce 610M,GPU,2006/2/1,90,,81,112,350,Unknown,NVIDIA,,,
2369,NVIDIA GeForce 7050 PV + nForce 630a,GPU,2006/2/1,90,,81,112,425,Unknown,NVIDIA,,,
2500,NVIDIA GeForce Go 7300,GPU,2006/2/1,90,,81,112,350,TSMC,NVIDIA,,,
2511,NVIDIA GeForce 7025 + nForce 630a,GPU,2006/2/1,90,,81,112,425,Unknown,NVIDIA,,,
2561,NVIDIA GeForce Go 7300T,GPU,2006/2/1,90,,81,112,350,TSMC,NVIDIA,,,
2651,NVIDIA GeForce Go 7400T,GPU,2006/2/1,90,,81,112,450,TSMC,NVIDIA,,,
2773,NVIDIA GeForce Go 6400,GPU,2006/2/1,110,,110,75,400,TSMC,NVIDIA,,,
2870,NVIDIA GeForce 7050 SE + nForce 630a,GPU,2006/2/1,90,,81,112,425,Unknown,NVIDIA,,,
2897,NVIDIA GeForce Go 7400,GPU,2006/2/1,90,,81,112,450,TSMC,NVIDIA,,,
2898,ATI Mobility Radeon X1600,GPU,2006/2/1,90,,150,157,450,TSMC,ATI,,,
3017,NVIDIA GeForce Go 6250,GPU,2006/2/1,110,10,110,75,400,TSMC,NVIDIA,,,
3225,NVIDIA GeForce 7025 + nForce 630a,GPU,2006/2/1,90,,81,112,425,Unknown,NVIDIA,,,
3627,NVIDIA GeForce Go 7400,GPU,2006/2/1,90,,81,112,450,TSMC,NVIDIA,,,
3738,NVIDIA GeForce Go 6100 + nForce Go 430,GPU,2006/2/1,90,,,,425,Unknown,NVIDIA,,,
3793,NVIDIA GeForce Go 6150 + nForce Go 430,GPU,2006/2/1,90,,,,425,Unknown,NVIDIA,,,
3835,ATI Mobility FireGL V5200,GPU,2006/2/1,90,,150,157,425,TSMC,ATI,,,
4045,NVIDIA GeForce 7025 + nForce 630a,GPU,2006/2/1,90,,81,112,425,Unknown,NVIDIA,,,
4271,NVIDIA GeForce Go 7450,GPU,2006/2/1,90,,81,112,300,TSMC,NVIDIA,,,
4513,NVIDIA GeForce 7050 + nForce 630a,GPU,2006/2/1,90,,81,112,425,Unknown,NVIDIA,,,
4671,ATI Mobility Radeon X1700,GPU,2006/2/1,90,,150,157,475,TSMC,ATI,,,
3125,NVIDIA GeForce 7800 GS AGP,GPU,2006/2/2,110,75,333,302,375,TSMC,NVIDIA,,,
3434,NVIDIA GeForce 7800 GS 20Pipes AGP,GPU,2006/2/2,110,75,333,302,425,TSMC,NVIDIA,,,
3695,NVIDIA GeForce 7800 GS 24Pipes AGP,GPU,2006/2/2,110,75,333,302,425,TSMC,NVIDIA,,,
2473,NVIDIA Quadro NVS 440,GPU,2006/2/14,110,31,154,146,250,TSMC,NVIDIA,,,
3102,ATI Mobility Radeon X1800 XT,GPU,2006/3/1,90,,288,321,550,TSMC,ATI,,,
3218,ATI Mobility Radeon X1800,GPU,2006/3/1,90,,288,321,450,TSMC,ATI,,,
3636,NVIDIA GeForce Go 7600,GPU,2006/3/1,90,,125,177,450,TSMC,NVIDIA,,,
4148,ATI Radeon X1800 GTO2,GPU,2006/3/1,90,,288,321,500,TSMC,ATI,,,
4406,ATI Radeon X1800 GTO,GPU,2006/3/1,90,48,288,321,500,TSMC,ATI,,,
2661,NVIDIA GeForce Go 7800,GPU,2006/3/3,110,35,333,302,400,TSMC,NVIDIA,,,
46,AMD Opteron X2 185,CPU,2006/3/6,90,110,,233,2600,Unknown,AMD,,,
995,AMD Opteron X2 285,CPU,2006/3/6,90,95,,233,2600,Unknown,AMD,,,
1176,AMD Opteron X2 885,CPU,2006/3/6,90,95,,233,2600,Unknown,AMD,,,
1838,AMD Opteron X2 890,CPU,2006/3/6,90,95,,233,2800,Unknown,AMD,,,
2566,NVIDIA GeForce 7900 GT,GPU,2006/3/9,90,48,196,278,450,TSMC,NVIDIA,,,
3179,NVIDIA GeForce 7900 GTX,GPU,2006/3/9,90,84,196,278,650,TSMC,NVIDIA,,,
3598,NVIDIA GeForce 7600 GT,GPU,2006/3/9,90,40,125,177,560,TSMC,NVIDIA,,,
2678,NVIDIA Quadro FX 350M,GPU,2006/3/13,90,15,81,112,450,TSMC,NVIDIA,,,
4237,NVIDIA Quadro FX 550M,GPU,2006/3/13,90,35,125,177,480,TSMC,NVIDIA,,,
2744,NVIDIA GeForce 7500 LE,GPU,2006/3/22,90,,81,112,475,TSMC,NVIDIA,,,
2796,NVIDIA GeForce 7300 LE,GPU,2006/3/22,90,,81,112,450,TSMC,NVIDIA,,,
3008,NVIDIA GeForce 7300 SE,GPU,2006/3/22,90,,81,112,450,TSMC,NVIDIA,,,
3174,NVIDIA GeForce 7650 GS,GPU,2006/3/22,90,,125,177,450,TSMC,NVIDIA,,,
3318,NVIDIA GeForce 7600 LE,GPU,2006/3/22,90,,125,177,400,TSMC,NVIDIA,,,
3463,NVIDIA GeForce 7600 GS,GPU,2006/3/22,90,27,125,177,400,TSMC,NVIDIA,,,
4813,NVIDIA GeForce 7350 LE,GPU,2006/3/22,90,,81,112,450,TSMC,NVIDIA,,,
951,Intel Pentium D 965 EE,CPU,2006/3/26,65,130,140,376,3730,Intel,Intel,,,
1531,AMD Opteron 856,CPU,2006/4/1,90,92,,106,3000,Unknown,AMD,,,
4586,NVIDIA GeForce 7900 GS AGP,GPU,2006/4/2,90,65,196,278,450,TSMC,NVIDIA,,,
2244,NVIDIA GeForce Go 7900 GS,GPU,2006/4/18,90,20,196,278,375,TSMC,NVIDIA,,,
2295,NVIDIA Quadro FX 1500M,GPU,2006/4/18,90,45,196,278,375,TSMC,NVIDIA,,,
3393,NVIDIA GeForce Go 7900 SE,GPU,2006/4/18,90,20,125,177,350,TSMC,NVIDIA,,,
3538,NVIDIA GeForce Go 7900 GTX,GPU,2006/4/18,90,45,196,278,500,TSMC,NVIDIA,,,
1193,Intel Core Solo ULV U1500,CPU,2006/4/19,65,5,90,151,1333,Intel,Intel,,,
1573,Intel Core Solo ULV U1400,CPU,2006/4/19,65,5,90,151,1200,Intel,Intel,,,
2139,Intel Core Solo ULV U1300,CPU,2006/4/19,65,5,90,151,1066,Intel,Intel,,,
3508,NVIDIA Quadro FX 5500 SDI,GPU,2006/4/20,90,104,196,278,650,TSMC,NVIDIA,,,
3815,NVIDIA Quadro FX 5500,GPU,2006/4/20,90,96,196,278,650,TSMC,NVIDIA,,,
4368,NVIDIA Quadro FX 560,GPU,2006/4/20,90,30,125,177,350,TSMC,NVIDIA,,,
4483,NVIDIA Quadro FX 1500,GPU,2006/4/20,90,65,196,278,325,TSMC,NVIDIA,,,
4610,NVIDIA Quadro FX 550,GPU,2006/4/20,110,30,154,146,360,TSMC,NVIDIA,,,
4738,NVIDIA Quadro FX 350,GPU,2006/4/20,90,21,81,112,550,TSMC,NVIDIA,,,
3368,NVIDIA Quadro FX 4500 X2,GPU,2006/4/24,90,145,196,278,500,TSMC,NVIDIA,,,
4243,NVIDIA GeForce 7900 GX2,GPU,2006/4/30,90,110,196,278,500,TSMC,NVIDIA,,,
414,Intel Core Duo T2250,CPU,2006/5/1,65,31,90,151,1733,Intel,Intel,,,
4105,NVIDIA GeForce 7900 GS,GPU,2006/5/1,90,49,196,278,450,TSMC,NVIDIA,,,
4659,ATI Radeon X1900 GT,GPU,2006/5/1,90,75,352,384,575,TSMC,ATI,,,
1344,Intel Pentium D 960,CPU,2006/5/2,65,130,140,376,3600,Intel,Intel,,,
3149,NVIDIA GeForce 7300 GT AGP,GPU,2006/5/15,90,24,125,177,350,TSMC,NVIDIA,,,
4751,NVIDIA GeForce 7300 GT,GPU,2006/5/15,90,24,125,177,350,TSMC,NVIDIA,,,
1522,AMD Sempron 3600+,CPU,2006/5/17,90,62,,69,2200,Unknown,AMD,,,
1529,AMD Sempron 3400+,CPU,2006/5/17,90,25,,69,2000,Unknown,AMD,,,
2605,NVIDIA Quadro FX 3500,GPU,2006/5/22,90,80,196,278,450,TSMC,NVIDIA,,,
9,AMD Athlon 64 X2 4200+,CPU,2006/5/23,90,89,156,154,2200,Unknown,AMD,,,
19,AMD Athlon 64 X2 4800+,CPU,2006/5/23,90,110,199,233,2400,Unknown,AMD,,,
85,AMD Athlon 64 X2 4000+,CPU,2006/5/23,90,89,220,154,2000,Unknown,AMD,,,
111,AMD Sempron 3400+ EE SFF,CPU,2006/5/23,90,35,103,81,1800,Unknown,AMD,,,
206,AMD Athlon 64 FX-62,CPU,2006/5/23,90,125,220,243,2800,Unknown,AMD,,,
224,AMD Sempron 2800+,CPU,2006/5/23,90,62,103,81,1600,Unknown,AMD,,,
307,AMD Athlon 64 X2 4400+ EE,CPU,2006/5/23,90,65,220,154,2200,Unknown,AMD,,,
337,AMD Athlon 64 X2 4400+,CPU,2006/5/23,90,110,199,233,2200,Unknown,AMD,,,
402,AMD Athlon 64 3800+,CPU,2006/5/23,90,62,183,154,2400,Unknown,AMD,,,
404,AMD Athlon 64 X2 4600+ EE,CPU,2006/5/23,90,65,220,154,2400,Unknown,AMD,,,
515,AMD Athlon 64 X2 4200+,CPU,2006/5/23,90,89,220,154,2200,Unknown,AMD,,,
565,AMD Sempron 3400+,CPU,2006/5/23,90,62,103,81,1800,Unknown,AMD,,,
593,AMD Athlon 64 3000+,CPU,2006/5/23,90,62,183,154,1800,Unknown,AMD,,,
768,AMD Sempron 3200+ EE SFF,CPU,2006/5/23,90,35,103,81,1800,Unknown,AMD,,,
789,AMD Athlon 64 X2 4600+,CPU,2006/5/23,90,110,156,154,2400,Unknown,AMD,,,
807,AMD Athlon 64 3200+,CPU,2006/5/23,90,62,183,154,2000,Unknown,AMD,,,
826,Intel Xeon 5050,CPU,2006/5/23,65,95,,,3000,Intel,Intel,,,
1004,AMD Athlon 64 X2 4000+ EE,CPU,2006/5/23,90,65,220,154,2000,Unknown,AMD,,,
1110,AMD Athlon 64 X2 4200+,CPU,2006/5/23,90,89,156,154,2200,Unknown,AMD,,,
1151,Intel Xeon 5063,CPU,2006/5/23,65,95,,,3200,Intel,Intel,,,
1163,AMD Athlon 64 X2 3800+ EE SFF,CPU,2006/5/23,90,35,220,154,2000,Unknown,AMD,,,
1191,AMD Athlon 64 X2 3800+ EE,CPU,2006/5/23,90,65,220,154,2000,Unknown,AMD,,,
1226,AMD Sempron 3500+ EE SFF,CPU,2006/5/23,90,35,103,81,2000,Unknown,AMD,,,
1255,AMD Sempron 3000+,CPU,2006/5/23,90,62,103,81,1600,Unknown,AMD,,,
1285,AMD Athlon 64 X2 4800+ EE,CPU,2006/5/23,90,65,220,154,2400,Unknown,AMD,,,
1318,AMD Sempron 3200+,CPU,2006/5/23,90,62,103,81,1800,Unknown,AMD,,,
1326,Intel Xeon 5060,CPU,2006/5/23,65,130,,,3200,Intel,Intel,,,
1399,AMD Athlon 64 X2 4400+,CPU,2006/5/23,90,89,220,154,2200,Unknown,AMD,,,
1462,AMD Sempron 3000+ EE SFF,CPU,2006/5/23,90,35,103,81,1600,Unknown,AMD,,,
1552,AMD Athlon 64 X2 4800+,CPU,2006/5/23,90,89,220,154,2400,Unknown,AMD,,,
1562,AMD Athlon 64 3500+,CPU,2006/5/23,90,62,183,154,2200,Unknown,AMD,,,
1602,AMD Athlon 64 X2 4600+,CPU,2006/5/23,90,89,220,154,2400,Unknown,AMD,,,
1605,Intel Xeon 5040,CPU,2006/5/23,65,95,,,2830,Intel,Intel,,,
1627,Intel Xeon 5080,CPU,2006/5/23,65,130,,,3730,Intel,Intel,,,
1633,AMD Athlon 64 X2 4200+ EE,CPU,2006/5/23,90,65,220,154,2200,Unknown,AMD,,,
1657,AMD Athlon 64 X2 4600+,CPU,2006/5/23,90,89,156,154,2400,Unknown,AMD,,,
1919,AMD Athlon 64 X2 3800+,CPU,2006/5/23,90,89,220,154,2000,Unknown,AMD,,,
1966,AMD Sempron 3600+,CPU,2006/5/23,90,62,103,81,2000,Unknown,AMD,,,
2100,Intel Xeon 5030,CPU,2006/5/23,65,95,,,2667,Intel,Intel,,,
2109,AMD Athlon 64 X2 5000+,CPU,2006/5/23,90,89,220,154,2600,Unknown,AMD,,,
2140,AMD Sempron 3500+,CPU,2006/5/23,90,62,103,81,2000,Unknown,AMD,,,
2739,ATI Radeon Xpress 1150 Mobile IGP,GPU,2006/5/23,110,,73,,400,Unknown,ATI,,,
3259,NVIDIA Quadro NVS 300M,GPU,2006/5/24,90,16,125,177,500,TSMC,NVIDIA,,,
1764,Intel Celeron D 352,CPU,2006/5/28,65,84,109,125,3200,Intel,Intel,,,
1565,AMD Turion X2 RM-70,CPU,2006/6/1,65,31,,,2000,Unknown,AMD,,,
3048,Intel GMA 3000,GPU,2006/6/1,90,13,,,667,Intel,Intel,,,
3204,Intel GMA 3000,GPU,2006/6/1,90,13,,,400,Intel,Intel,,,
4104,Intel GMA 3000,GPU,2006/6/1,90,13,,,667,Intel,Intel,,,
4139,Intel GMA X3000,GPU,2006/6/1,90,13,,,667,Intel,Intel,,,
4448,NVIDIA Quadro NVS 120M,GPU,2006/6/1,90,10,81,112,450,TSMC,NVIDIA,,,
4622,Intel GMA X3000,GPU,2006/6/1,90,13,,,500,Intel,Intel,,,
4765,NVIDIA Quadro NVS 110M,GPU,2006/6/1,90,10,81,112,300,TSMC,NVIDIA,,,
3746,NVIDIA GeForce 7950 GX2,GPU,2006/6/5,90,110,196,278,500,TSMC,NVIDIA,,,
4704,NVIDIA Quadro NVS 285,GPU,2006/6/6,110,18,110,75,275,TSMC,NVIDIA,,,
4599,Matrox Parhelia APVe,GPU,2006/6/14,150,,174,80,250,UMC,Other,,,
201,Intel Xeon 5140,CPU,2006/6/26,65,65,,,2333,Intel,Intel,,,
357,Intel Xeon 5110,CPU,2006/6/26,65,65,,,1600,Intel,Intel,,,
455,Intel Xeon 5150,CPU,2006/6/26,65,65,,,2666,Intel,Intel,,,
542,Intel Xeon 5148,CPU,2006/6/26,65,40,,,2333,Intel,Intel,,,
1053,Intel Xeon 5130,CPU,2006/6/26,65,65,,,2000,Intel,Intel,,,
1137,Intel Xeon 5120,CPU,2006/6/26,65,65,,,1866,Intel,Intel,,,
1783,Intel Xeon 5160,CPU,2006/6/26,65,80,,,3000,Intel,Intel,,,
690,Intel Core Duo ULV L2500,CPU,2006/6/28,65,9,90,151,1200,Intel,Intel,,,
1572,Intel Core Duo T2700,CPU,2006/6/28,65,31,90,151,2333,Intel,Intel,,,
2546,NVIDIA GeForce 7600 GS AGP,GPU,2006/7/1,90,27,125,177,400,TSMC,NVIDIA,,,
3495,Intel GMA 3000,GPU,2006/7/1,90,13,,,400,Intel,Intel,,,
4222,NVIDIA GeForce 7600 GS AGP,GPU,2006/7/1,90,27,196,278,500,TSMC,NVIDIA,,,
102,Intel Pentium D 945,CPU,2006/7/23,65,95,140,376,3400,Intel,Intel,,,
1086,Intel Pentium D 915,CPU,2006/7/23,65,95,140,376,2800,Intel,Intel,,,
211,Intel Core 2 Duo T7300,CPU,2006/7/27,65,35,143,293,2000,Intel,Intel,,,
272,Intel Core 2 Duo E4300,CPU,2006/7/27,65,65,111,167,1800,Intel,Intel,,,
279,Intel Core 2 Duo T5600,CPU,2006/7/27,65,35,143,,1833,Intel,Intel,,,
308,Intel Core 2 Duo T5200,CPU,2006/7/27,65,35,143,,1600,Intel,Intel,,,
488,Intel Core 2 Duo E6600,CPU,2006/7/27,65,65,143,291,2400,Intel,Intel,,,
953,Intel Core 2 Duo T7600,CPU,2006/7/27,65,35,143,293,2333,Intel,Intel,,,
1011,Intel Core 2 Duo E6300,CPU,2006/7/27,65,65,143,291,1866,Intel,Intel,,,
1027,Intel Core 2 Duo E6400,CPU,2006/7/27,65,65,143,291,2133,Intel,Intel,,,
1087,Intel Core 2 Duo T5500,CPU,2006/7/27,65,35,143,,1667,Intel,Intel,,,
1412,Intel Core 2 Duo E6700,CPU,2006/7/27,65,65,143,291,2667,Intel,Intel,,,
1603,Intel Core 2 Extreme X6800,CPU,2006/7/27,65,75,143,291,2933,Intel,Intel,,,
1854,Intel Core 2 Duo T7200,CPU,2006/7/27,65,35,143,293,2000,Intel,Intel,,,
2164,Intel Core 2 Duo T7400,CPU,2006/7/27,65,35,143,293,2166,Intel,Intel,,,
975,AMD Athlon 64 X2 3600+ EE,CPU,2006/8/1,90,65,220,154,2000,Unknown,AMD,,,
3587,NVIDIA GeForce Go 7600 GT,GPU,2006/8/1,90,,125,177,500,TSMC,NVIDIA,,,
3906,NVIDIA GeForce Go 7700,GPU,2006/8/1,90,,125,177,450,TSMC,NVIDIA,,,
3247,NVIDIA GeForce 7950 GT,GPU,2006/8/6,90,65,196,278,550,TSMC,NVIDIA,,,
2197,NVIDIA GeForce 7100 GS,GPU,2006/8/8,110,,110,75,350,TSMC,NVIDIA,,,
2492,ATI Radeon X1300 XT AGP,GPU,2006/8/12,90,22,150,157,500,TSMC,ATI,,,
2497,ATI Radeon X1300 XT,GPU,2006/8/12,90,22,150,157,500,TSMC,ATI,,,
3850,NVIDIA Quadro NVS 510M,GPU,2006/8/21,90,35,196,278,450,TSMC,NVIDIA,,,
4686,ATI Radeon X1650 PRO,GPU,2006/8/23,80,44,131,330,600,TSMC,ATI,,,
2989,NVIDIA GeForce 7300 GT Mac Edition,GPU,2006/8/26,90,24,125,177,350,TSMC,NVIDIA,,,
388,Intel Xeon 7130M,CPU,2006/8/27,65,150,435,1328,3200,Intel,Intel,,,
467,Intel Xeon 7140M,CPU,2006/8/27,65,150,435,1328,3400,Intel,Intel,,,
480,Intel Xeon 7110M,CPU,2006/8/27,65,95,435,1328,2600,Intel,Intel,,,
869,Intel Xeon 7110N,CPU,2006/8/27,65,95,435,1328,2500,Intel,Intel,,,
1094,Intel Xeon 7120N,CPU,2006/8/27,65,95,435,1328,3000,Intel,Intel,,,
1263,Intel Xeon 7120M,CPU,2006/8/27,65,95,435,1328,3000,Intel,Intel,,,
1411,Intel Xeon 7140N,CPU,2006/8/27,65,150,435,1328,3333,Intel,Intel,,,
1639,Intel Xeon 7130N,CPU,2006/8/27,65,150,435,1328,3166,Intel,Intel,,,
3075,NVIDIA GeForce Go 7200,GPU,2006/9/1,90,,81,112,450,TSMC,NVIDIA,,,
3941,NVIDIA GeForce 7600 GT Mac Edition,GPU,2006/9/2,90,40,125,177,560,TSMC,NVIDIA,,,
393,Intel Core Duo LV L2500,CPU,2006/9/3,65,15,90,151,1833,Intel,Intel,,,
1505,Intel Core Duo ULV L2400,CPU,2006/9/3,65,9,90,151,1066,Intel,Intel,,,
514,AMD Athlon 64 X2 5200+,CPU,2006/9/6,90,89,220,154,2600,Unknown,AMD,,,
1256,AMD Athlon 64 X2 5000+ EE,CPU,2006/9/6,90,65,220,154,2600,Unknown,AMD,,,
1939,AMD Athlon 64 X2 5200+ EE,CPU,2006/9/6,90,65,220,154,2600,Unknown,AMD,,,
2974,ATI Radeon X1950 CrossFire Edition,GPU,2006/9/10,90,,352,384,650,TSMC,ATI,,,
3114,ATI Radeon X850 CrossFire Edition,GPU,2006/9/10,130,,297,160,520,TSMC,ATI,,,
2490,ATI Mobility Radeon X1350,GPU,2006/9/18,80,,100,107,371,UMC,ATI,,,
2638,ATI Mobility Radeon X1350,GPU,2006/9/18,80,,100,107,419,UMC,ATI,,,
3958,ATI Mobility Radeon X1450,GPU,2006/9/18,80,,100,107,550,UMC,ATI,,,
3182,NVIDIA GeForce 7800 GS+ 20Pipes AGP,GPU,2006/9/28,90,75,196,278,425,TSMC,NVIDIA,,,
4309,NVIDIA GeForce 7800 GS+ AGP,GPU,2006/9/28,90,75,196,278,375,TSMC,NVIDIA,,,
4794,NVIDIA GeForce 7800 GS+ 24Pipes AGP,GPU,2006/9/28,90,75,196,278,425,TSMC,NVIDIA,,,
985,Intel Pentium D 925,CPU,2006/10/1,65,95,140,376,3000,Intel,Intel,,,
2287,ATI Radeon X1950 PRO,GPU,2006/10/1,80,66,230,330,575,TSMC,ATI,,,
3594,NVIDIA GeForce 7900 GTO,GPU,2006/10/1,90,81,196,278,650,TSMC,NVIDIA,,,
4644,NVIDIA GeForce Go 7950 GTX,GPU,2006/10/12,90,45,196,278,575,TSMC,NVIDIA,,,
4286,ATI Radeon X1650 PRO AGP,GPU,2006/10/15,80,44,131,330,600,TSMC,ATI,,,
2838,ATI Radeon X1950 XT AGP,GPU,2006/10/17,90,96,352,384,625,TSMC,ATI,,,
4331,ATI Radeon X1950 XT,GPU,2006/10/17,90,96,352,384,625,TSMC,ATI,,,
4568,ATI Radeon X1950 XTX,GPU,2006/10/17,90,125,352,384,650,TSMC,ATI,,,
301,AMD Sempron 3800+,CPU,2006/10/23,90,62,103,81,2200,Unknown,AMD,,,
2330,ATI Radeon X300 SE HyperMemory,GPU,2006/10/25,110,30,74,107,325,TSMC,ATI,,,
3333,ATI Radeon X1950 PRO AGP,GPU,2006/10/25,80,66,230,330,575,TSMC,ATI,,,
2914,ATI Radeon X1650 XT,GPU,2006/10/30,80,55,230,330,525,TSMC,ATI,,,
3550,ATI Radeon X1650 XT AGP,GPU,2006/10/30,80,55,230,330,540,TSMC,ATI,,,
4076,ATI Radeon X1650 XT Dual,GPU,2006/10/30,80,,230,330,525,TSMC,ATI,,,
52,Intel Core 2 Extreme QX6700,CPU,2006/11/1,65,130,143,582,2666,Intel,Intel,,,
618,AMD Athlon 64 FX-76,CPU,2006/11/1,90,125,235,227,3200,Unknown,AMD,,,
4208,ATI Radeon X1300 PRO,GPU,2006/11/1,80,31,100,107,600,UMC,ATI,,,
3988,ATI Radeon X1900 G5 Mac Edition,GPU,2006/11/6,90,75,352,384,575,TSMC,ATI,,,
2573,NVIDIA GeForce 8800 GTS 640,GPU,2006/11/8,90,143,484,681,513,TSMC,NVIDIA,,228.1,
2857,NVIDIA GeForce 8800 GTX,GPU,2006/11/8,90,155,484,681,576,TSMC,NVIDIA,,345.6,
2299,NVIDIA Playstation 3 GPU 90nm,GPU,2006/11/11,90,80,258,300,550,Sony,NVIDIA,,,
3751,ATI Wii GPU,GPU,2006/11/19,90,45,95,107,243,NEC,ATI,,,
447,AMD Athlon 64 FX-74,CPU,2006/11/30,90,125,235,227,3000,Unknown,AMD,,,
785,AMD Athlon 64 FX-72,CPU,2006/11/30,90,125,235,227,2800,Unknown,AMD,,,
1587,AMD Athlon 64 FX-70,CPU,2006/11/30,90,125,235,227,2600,Unknown,AMD,,,
1290,AMD Athlon 64 X2 4200+,CPU,2006/12/1,65,65,126,154,2200,Unknown,AMD,,,
596,AMD Athlon 64 X2 3600+,CPU,2006/12/5,65,65,126,154,1900,Unknown,AMD,,,
1012,AMD Athlon 64 X2 4000+,CPU,2006/12/5,65,65,126,154,2100,Unknown,AMD,,,
1626,AMD Athlon 64 X2 4800+,CPU,2006/12/5,65,65,126,154,2500,Unknown,AMD,,,
1865,AMD Athlon 64 X2 4400+,CPU,2006/12/5,65,65,126,154,2300,Unknown,AMD,,,
1965,AMD Athlon 64 X2 5000+,CPU,2006/12/5,65,65,126,154,2600,Unknown,AMD,,,
4394,ATI Radeon X1050,GPU,2006/12/7,110,24,74,107,400,TSMC,ATI,,,
4439,ATI Radeon X1050 AGP,GPU,2006/12/7,130,24,76,60,250,TSMC,ATI,,,
58,AMD Athlon 64 X2 5600+,CPU,2006/12/12,90,89,220,227,2800,Unknown,AMD,,,
842,AMD Athlon 64 X2 5400+,CPU,2006/12/12,90,89,220,154,2800,Unknown,AMD,,,
437,Intel Core 2 Duo T7600G,CPU,2006/12/27,65,35,143,293,2333,Intel,Intel,,,
1016,Intel Pentium D 935,CPU,2007/1/1,65,95,140,376,3200,Intel,Intel,,,
2460,ATI FireMV 2250 PCIe x1,GPU,2007/1/1,80,32,100,107,600,UMC,ATI,,,
2694,ATI Radeon X1550 PCI,GPU,2007/1/1,80,27,100,107,452,UMC,ATI,,,
3107,ATI Radeon HD 2350 PRO,GPU,2007/1/1,65,20,85,180,525,TSMC,ATI,,42,
3227,ATI Radeon X1550 AGP,GPU,2007/1/1,90,27,100,107,600,TSMC,ATI,,,
3769,ATI Radeon X1550,GPU,2007/1/1,90,27,100,107,500,TSMC,ATI,,,
3851,ATI Mobility FireGL V5250,GPU,2007/1/1,90,,150,157,450,TSMC,ATI,,,
4121,ATI Radeon X1600,GPU,2007/1/1,80,27,100,107,635,UMC,ATI,,,
4161,ATI Radeon X1550,GPU,2007/1/1,80,27,100,107,550,UMC,ATI,,,
4283,ATI Radeon X1550,GPU,2007/1/1,90,27,100,107,600,TSMC,ATI,,,
4464,ATI FireMV 2250,GPU,2007/1/1,80,32,100,107,600,UMC,ATI,,,
205,Intel Core 2 Quad Q6600 (105W),CPU,2007/1/7,65,105,143,582,2400,Intel,Intel,,,
3420,NVIDIA GeForce 7600 GT AGP,GPU,2007/1/8,90,40,125,177,560,TSMC,NVIDIA,,,
2350,ATI Radeon X1950 PRO DUAL,GPU,2007/1/10,80,130,230,330,575,TSMC,ATI,,,
2875,ATI Mobility Radeon X1900,GPU,2007/1/11,80,,230,384,400,TSMC,ATI,,,
3549,ATI Radeon X1950 XTX Uber Edition,GPU,2007/1/19,90,125,352,384,670,TSMC,ATI,,,
2811,ATI Radeon X550 XTX,GPU,2007/1/24,110,,156,120,400,TSMC,ATI,,,
3828,ATI Radeon X550 XT,GPU,2007/1/24,110,,156,120,400,TSMC,ATI,,,
3805,ATI Radeon X1950 GT,GPU,2007/1/29,80,57,230,330,500,TSMC,ATI,,,
2191,AMD Athlon 64 X2 5000+ EE,CPU,2007/2/1,90,65,220,154,2600,Unknown,AMD,,,
2309,ATI Radeon X1650 AGP,GPU,2007/2/1,90,,150,157,500,TSMC,ATI,,,
3762,ATI Radeon X1650,GPU,2007/2/1,90,,150,157,500,TSMC,ATI,,,
3812,ATI Radeon X1950 GT AGP,GPU,2007/2/10,80,57,230,330,500,TSMC,ATI,,,
